Stimulus,TMS,Correct_Key,TMStarget,Task,TrialN,Order,Phoneme1,Phoneme2,P1_TSidx,P2_TSidx,TMS_TSidx,Place,Manner,Voicing,Category
iT_angry2,0,4,control_lip,phonemes,4,vC,i,t,14408,14652,14308,alveolar,stop,no,alveolar
Bo_angry2,1,1,lip,phonemes,5,Cv,b,o,22374,22428,22274,bilabial,stop,yes,bilabial
iD_angry2,1,3,lip,phonemes,6,vC,i,d,30372,30714,30272,alveolar,stop,no,alveolar
eB_angry1,1,1,lip,phonemes,7,vC,e,b,38372,38692,38272,alveolar,stop,no,alveolar
aD_happy1,1,3,lip,phonemes,8,vC,a,d,46371,46628,46271,alveolar,stop,no,alveolar
Pa_angry1,1,2,lip,phonemes,9,Cv,p,a,54370,54504,54270,bilabial,stop,no,bilabial
eT_happy2,0,4,control_lip,phonemes,10,vC,e,t,62399,62662,62299,alveolar,stop,no,alveolar
Da_happy1,1,3,lip,phonemes,11,Cv,d,a,70366,70442,70266,alveolar,stop,yes,alveolar
Bi_happy1,1,1,lip,phonemes,12,Cv,b,i,78366,78420,78266,bilabial,stop,yes,bilabial
Be_angry1,1,1,lip,phonemes,13,Cv,b,e,86365,86418,86265,bilabial,stop,yes,bilabial
Pu_angry1,0,2,control_lip,phonemes,14,Cv,p,u,94363,94446,94263,bilabial,stop,no,bilabial
uT_angry1,1,4,lip,phonemes,15,vC,u,t,102363,102682,102263,alveolar,stop,no,alveolar
Di_angry1,1,3,lip,phonemes,16,Cv,d,i,110361,110447,110261,alveolar,stop,yes,alveolar
Te_happy2,0,4,control_lip,phonemes,17,Cv,t,e,118361,118475,118261,alveolar,stop,no,alveolar
eB_happy2,0,1,control_lip,phonemes,18,vC,e,b,126334,126576,126234,alveolar,stop,no,alveolar
Ba_angry2,0,1,control_lip,phonemes,19,Cv,b,a,134358,134411,134258,bilabial,stop,yes,bilabial
Pu_happy2,1,2,lip,phonemes,20,Cv,p,u,142356,142438,142256,bilabial,stop,no,bilabial
iD_happy2,0,3,control_lip,phonemes,21,vC,i,d,150355,150694,150255,alveolar,stop,no,alveolar
Te_angry1,1,4,lip,phonemes,22,Cv,t,e,158354,158467,158254,alveolar,stop,no,alveolar
oB_happy1,1,1,lip,phonemes,23,vC,o,b,166422,166754,166322,alveolar,stop,no,alveolar
eD_angry1,0,3,control_lip,phonemes,24,vC,e,d,174353,174628,174253,alveolar,stop,no,alveolar
Di_angry2,1,3,lip,phonemes,25,Cv,d,i,182351,182440,182251,alveolar,stop,yes,alveolar
Bu_angry1,1,1,lip,phonemes,26,Cv,b,u,190350,190419,190250,bilabial,stop,yes,bilabial
Pe_angry2,0,2,control_lip,phonemes,27,Cv,p,e,198349,198495,198249,bilabial,stop,no,bilabial
Ti_happy1,1,4,lip,phonemes,28,Cv,t,i,206381,206476,206281,alveolar,stop,no,alveolar
uB_angry2,0,1,control_lip,phonemes,30,vC,u,b,222381,222720,222281,alveolar,stop,no,alveolar
iT_happy2,1,4,lip,phonemes,31,vC,i,t,230446,230721,230346,alveolar,stop,no,alveolar
uP_angry1,0,2,control_lip,phonemes,32,vC,u,p,238414,238756,238314,alveolar,stop,no,alveolar
Do_angry1,1,3,lip,phonemes,33,Cv,d,o,246376,246429,246276,alveolar,stop,yes,alveolar
Bi_angry1,0,1,control_lip,phonemes,34,Cv,b,i,254410,254472,254310,bilabial,stop,yes,bilabial
De_happy2,1,3,lip,phonemes,35,Cv,d,e,262373,262424,262273,alveolar,stop,yes,alveolar
Po_angry2,0,2,control_lip,phonemes,36,Cv,p,o,270373,270458,270273,bilabial,stop,no,bilabial
Da_happy2,1,3,lip,phonemes,37,Cv,d,a,278372,278427,278272,alveolar,stop,yes,alveolar
Be_happy1,1,1,lip,phonemes,38,Cv,b,e,286372,286426,286272,bilabial,stop,yes,bilabial
iB_happy2,1,1,lip,phonemes,39,vC,i,b,294368,294692,294268,alveolar,stop,no,alveolar
Pi_happy2,0,2,control_lip,phonemes,40,Cv,p,i,302367,302467,302267,bilabial,stop,no,bilabial
Bi_happy2,1,1,lip,phonemes,41,Cv,b,i,310365,310419,310265,bilabial,stop,yes,bilabial
iP_angry2,1,2,lip,phonemes,42,vC,i,p,318364,318685,318264,alveolar,stop,no,alveolar
eT_angry2,1,4,lip,phonemes,43,vC,e,t,326364,326654,326264,alveolar,stop,no,alveolar
oD_angry2,0,3,control_lip,phonemes,44,vC,o,d,334365,334776,334265,alveolar,stop,no,alveolar
Da_angry1,1,3,lip,phonemes,45,Cv,d,a,342361,342415,342261,alveolar,stop,yes,alveolar
Be_happy2,0,1,control_lip,phonemes,46,Cv,b,e,350395,350540,350295,bilabial,stop,yes,bilabial
Pa_happy1,1,2,lip,phonemes,47,Cv,p,a,358393,358531,358293,bilabial,stop,no,bilabial
aP_angry1,1,2,lip,phonemes,48,vC,a,p,366395,366729,366295,alveolar,stop,no,alveolar
uD_angry2,1,3,lip,phonemes,49,vC,u,d,374357,374722,374257,alveolar,stop,no,alveolar
Ta_angry1,0,4,control_lip,phonemes,50,Cv,t,a,382391,382499,382291,alveolar,stop,no,alveolar
eB_happy1,1,1,lip,phonemes,51,vC,e,b,390355,390600,390255,alveolar,stop,no,alveolar
oP_angry2,0,2,control_lip,phonemes,52,vC,o,p,398353,NaN,398253,alveolar,stop,no,alveolar
Te_happy1,0,4,control_lip,phonemes,53,Cv,t,e,406384,406497,406284,alveolar,stop,no,alveolar
aP_happy2,1,2,lip,phonemes,54,vC,a,p,414384,414664,414284,alveolar,stop,no,alveolar
Bo_angry1,0,1,control_lip,phonemes,55,Cv,b,o,422414,422468,422314,bilabial,stop,yes,bilabial
Ti_angry1,0,4,control_lip,phonemes,56,Cv,t,i,430414,430588,430314,alveolar,stop,no,alveolar
aB_angry2,0,1,control_lip,phonemes,57,vC,a,b,438412,438752,438312,alveolar,stop,no,alveolar
Po_happy1,0,2,control_lip,phonemes,58,Cv,p,o,446377,446472,446277,bilabial,stop,no,bilabial
aD_angry2,1,3,lip,phonemes,59,vC,a,d,454448,454771,454348,alveolar,stop,no,alveolar
iP_angry1,1,2,lip,phonemes,60,vC,i,p,462412,462739,462312,alveolar,stop,no,alveolar
oT_happy2,1,4,lip,phonemes,61,vC,o,t,502538,502879,502438,alveolar,stop,no,alveolar
Ti_happy2,1,4,lip,phonemes,62,Cv,t,i,510369,510461,510269,alveolar,stop,no,alveolar
De_angry1,0,3,control_lip,phonemes,63,Cv,d,e,518368,518414,518268,alveolar,stop,yes,alveolar
uB_angry1,1,1,lip,phonemes,64,vC,u,b,526368,526705,526268,alveolar,stop,no,alveolar
oD_angry1,1,3,lip,phonemes,65,vC,o,d,534366,534785,534266,alveolar,stop,no,alveolar
Bu_happy1,0,1,control_lip,phonemes,66,Cv,b,u,542330,542397,542230,bilabial,stop,yes,bilabial
Pe_happy1,1,2,lip,phonemes,67,Cv,p,e,550399,550500,550299,bilabial,stop,no,bilabial
oP_happy1,0,2,control_lip,phonemes,68,vC,o,p,558363,558698,558263,alveolar,stop,no,alveolar
iD_angry1,1,3,lip,phonemes,69,vC,i,d,566361,566681,566261,alveolar,stop,no,alveolar
oP_angry1,1,2,lip,phonemes,70,vC,o,p,574394,574712,574294,alveolar,stop,no,alveolar
eP_happy2,1,2,lip,phonemes,71,vC,e,p,582393,582678,582293,alveolar,stop,no,alveolar
Bo_happy2,1,1,lip,phonemes,72,Cv,b,o,590390,590444,590290,bilabial,stop,yes,bilabial
De_happy1,0,3,control_lip,phonemes,73,Cv,d,e,598320,598370,598220,alveolar,stop,yes,alveolar
To_happy1,1,4,lip,phonemes,74,Cv,t,o,606356,606438,606256,alveolar,stop,no,alveolar
aP_happy1,1,2,lip,phonemes,75,vC,a,p,614354,614659,614254,alveolar,stop,no,alveolar
Ta_angry2,0,4,control_lip,phonemes,76,Cv,t,a,622418,622503,622318,alveolar,stop,no,alveolar
eD_angry2,0,3,control_lip,phonemes,77,vC,e,d,630417,630726,630317,alveolar,stop,no,alveolar
iB_angry2,0,1,control_lip,phonemes,78,vC,i,b,638414,638744,638314,alveolar,stop,no,alveolar
Po_angry1,1,2,lip,phonemes,79,Cv,p,o,646383,646462,646283,bilabial,stop,no,bilabial
Bu_angry2,0,1,control_lip,phonemes,80,Cv,b,u,654381,654450,654281,bilabial,stop,yes,bilabial
iP_happy1,0,2,control_lip,phonemes,81,vC,i,p,662380,662689,662280,alveolar,stop,no,alveolar
uT_happy1,1,4,lip,phonemes,82,vC,u,t,670380,670697,670280,alveolar,stop,no,alveolar
oT_happy1,1,4,lip,phonemes,83,vC,o,t,678379,678706,678279,alveolar,stop,no,alveolar
Pi_angry2,1,2,lip,phonemes,84,Cv,p,i,686378,686494,686278,bilabial,stop,no,bilabial
oB_happy2,1,1,lip,phonemes,85,vC,o,b,694446,694776,694346,alveolar,stop,no,alveolar
uP_angry2,1,2,lip,phonemes,86,vC,u,p,702375,702759,702275,alveolar,stop,no,alveolar
Ba_happy2,0,1,control_lip,phonemes,87,Cv,b,a,710373,710488,710273,bilabial,stop,yes,bilabial
Da_angry2,1,3,lip,phonemes,88,Cv,d,a,718406,718462,718306,alveolar,stop,yes,alveolar
eD_happy1,0,3,control_lip,phonemes,89,vC,e,d,726399,726668,726299,alveolar,stop,no,alveolar
eT_angry1,1,4,lip,phonemes,90,vC,e,t,734440,734710,734340,alveolar,stop,no,alveolar
Pa_angry2,1,2,lip,phonemes,91,Cv,p,a,742369,742458,742269,bilabial,stop,no,bilabial
aP_angry2,1,2,lip,phonemes,92,vC,a,p,750368,750710,750268,alveolar,stop,no,alveolar
aD_happy2,1,3,lip,phonemes,93,vC,a,d,758401,758666,758301,alveolar,stop,no,alveolar
uB_happy2,0,1,control_lip,phonemes,94,vC,u,b,766367,766704,766267,alveolar,stop,no,alveolar
Du_happy2,1,3,lip,phonemes,95,Cv,d,u,774366,774446,774266,alveolar,stop,yes,alveolar
iP_happy2,0,2,control_lip,phonemes,96,vC,i,p,782366,782683,782266,alveolar,stop,no,alveolar
oT_angry2,1,4,lip,phonemes,97,vC,o,t,790362,790671,790262,alveolar,stop,no,alveolar
eD_happy2,1,3,lip,phonemes,98,vC,e,d,798362,798645,798262,alveolar,stop,no,alveolar
To_angry2,1,4,lip,phonemes,99,Cv,t,o,806360,806458,806260,alveolar,stop,no,alveolar
